"NAME_2","ID_2","Cod.Municipio"
"Puerto Asís",816,86568
"Puerto Caicedo",817,86569
"Puerto Guzmán",818,86571
"Puerto Leguízamo",819,86573
"San Francisco",820,5652
"San Miguel de Mocoa",821,NA
"Santiago",822,54680
"Sibundoy",823,86749
"Valle del Guamuez",824,86865
"Villagarzón",825,86885
"Armenia",826,5059
"Buenavista",827,15109
"Córdoba",828,13212
"Calarcá",829,63130
"Circasia",830,63190
"Filandia",831,63272
"Génova",832,63302
"La Tebaida",833,63401
"Montenegro",834,63470
"Pijao",835,63548
"Quimbaya",836,63594
"Salento",837,63690
"Apía",838,66045
"Balboa",839,19075
"Belén de Umbría",840,66088
"Dosquebradas",841,66170
"Guática",842,66318
"La Celia",843,66383
"La Virginia",844,66400
"Marsella",845,66440
"Mistrato",846,NA
"Pereira",847,66001
"Pueblo Rico",848,66572
"Quinchía",849,66594
"Santa Rosa de Cabal",850,66682
"Santuario",851,66687
"n.a. (1)",852,NA
"Providencia",853,52565
"San Andrés",854,68669
"Aguada",855,68013
"Albania",856,18029
"Aratoca",857,68051
"Barbosa",858,5079
"Barichara",859,68079
"Barrancabermeja",860,68081
"Betulia",861,5093
"Bolívar",862,19100
"Bucaramanga",863,68001
"Cabrera",864,25120
"California",865,68132
"Capitanejo",866,68147
"Carcasí",867,68152
"Cepitá",868,68160
"Cerrito",869,68162
"Charalá",870,68167
"Charta",871,68169
"Chimá",872,23168
"Chipatá",873,68179
"Cimitarra",874,68190
"Concepción",875,5206
"Confines",876,68209
"Contratación",877,68211
"Coromoro",878,68217
"Curití",879,68229
"El Carmen de Chucurí",880,68235
"El Guacamayo",881,68245
"El Peñon",882,NA
"El Playón",883,68255
"Encino",884,68264
"Enciso",885,68266
"Florián",886,68271
"Floridablanca",887,68276
"Gámbita",888,68298
"Güepsa",889,68327
"Galán",890,68296
"Girón",891,68307
"Guaca",892,68318
"Guadalupe",893,5315
"Guapotá",894,68322
"Guavatá",895,68324
"Hato",896,68344
"Jesús María",897,68368
"Jordán",898,68370
"La Belleza",899,68377
"La Paz",900,20621
"Landázuri",901,68385
"Lebrija",902,68406
"Los Santos",903,68418
"Málaga",904,68432
"Macaravita",905,68425
"Matanza",906,68444
"Mogotes",907,68464
"Molagavita",908,68468
"Ocamonte",909,68498
"Oiba",910,68500
"Onzaga",911,68502
"Páramo",912,68533
"Palmar",913,68522
"Palmas del Socorro",914,68524
"Piedecuesta",915,68547
"Pinchote",916,68549
"Puente Nacional",917,68572
"Puerto Parra",918,68573
"Puerto Wilches",919,68575
"Rionegro",920,5615
"Sabana de Torres",921,68655
"San Andrés de Cuerquia",922,NA
"San Benito",923,68673
"San Gil",924,68679
"San Joaquín",925,68682
"San José de Miranda",926,68684
"San Miguel",927,68686
"San Vicente de Chucurí",928,68689
"Santa Bárbara",929,5679
"Santa Helena del Opón",930,68720
"Simacota",931,68745
"Socorro",932,68755
"Suaita",933,68770
"Sucre",934,19785
"Suratá",935,68780
"Tona",936,68820
"Vélez",937,68861
"Valle de San José",938,68855
"Vetas",939,68867
"Villanueva",940,13873
"Zapatoca",941,68895
"Buenavista",942,15109
"Caimito",943,70124
